ds,ts,max_temp,min_temp
2018-10-11,7862.3154166666600,17.7,12.1
2018-10-12,7835.640625000000,19.1,12.7
2018-10-13,7194.338750000000,21.3,12.9
2018-10-14,6845.397708333330,21.7,15.4
2018-10-15,7539.953125,22.6,15.0
2018-10-16,7531.520625000000,24.7,16.6
2018-10-17,7676.340833333340,25.1,18.6
2018-10-18,7635.206458333330,25.5,17.4
2018-10-19,7482.781041666660,28.7,17.5
2018-10-20,7092.458541666670,29.4,17.9
2018-10-21,6771.736458333330,18.9,15.2
2018-10-22,7340.486250000000,23.8,15.6
2018-10-23,7588.465833333340,27.9,16.0
2018-10-24,7441.372708333330,18.6,16.2
2018-10-25,7418.1445833333400,23.2,15.1
2018-10-26,7382.481458333340,21.3,15.1
2018-10-27,6854.249791666670,25.4,15.3
2018-10-28,6805.473333333340,18.8,16.4
2018-10-29,7414.4504166666700,21.9,16.3
2018-10-30,7528.606041666670,26.7,15.4
2018-10-31,7676.551666666670,25.1,16.7
2018-11-01,8090.000416666670,31.0,18.2
2018-11-02,8744.821041666670,38.9,21.5
2018-11-03,7729.646458333330,33.4,21.9
2018-11-04,7093.034375,26.4,18.4
2018-11-05,7990.275625000000,27.0,18.3
2018-11-06,8525.710208333330,32.2,20.4
2018-11-07,8084.350208333330,22.1,20.2
2018-11-08,7317.271875000000,19.3,11.5
2018-11-09,7209.051458333330,23.5,12.5
2018-11-10,6763.3375000000000,22.9,14.7
2018-11-11,6615.407708333340,24.2,14.1
2018-11-12,7460.123125000000,24.5,15.5
2018-11-13,7748.787083333330,26.8,18.2
2018-11-14,7731.293125,24.3,19.5
2018-11-15,7597.104375000000,21.9,17.8
2018-11-16,7413.394791666670,21.0,16.2
2018-11-17,6858.995000000000,22.2,14.7
2018-11-18,6612.648125000000,23.2,15.3
2018-11-19,7290.322916666670,23.4,14.8
2018-11-20,7547.142500000000,27.0,16.7
2018-11-21,7738.912291666670,30.1,21.4
2018-11-22,7289.088958333330,26.3,18.2
2018-11-23,7028.210416666670,25.0,14.4
2018-11-24,6578.992708333330,23.8,15.1
2018-11-25,6619.095833333330,24.4,13.8
2018-11-26,7367.1731250000000,22.2,15.7
2018-11-27,7664.413541666670,25.8,17.2
2018-11-28,7749.305,20.7,17.8
2018-11-29,7471.816666666670,21.2,15.5
2018-11-30,7397.618541666660,24.4,15.8
2018-12-01,7111.525000000000,27.3,18.5
2018-12-02,7164.590833333340,35.9,17.9
2018-12-03,7609.65625,32.9,16.3
2018-12-04,7702.596458333330,23.6,19.6
2018-12-05,7565.965625000000,22.3,16.4
2018-12-06,7772.248541666670,26.9,17.7
2018-12-07,7833.245208333330,27.5,18.4
2018-12-08,7574.953541666670,28.2,19.1
2018-12-09,7586.619166666670,28.2,19.7
2018-12-10,8234.270833333330,28.1,20.2
2018-12-11,7917.453125000000,22.4,19.8
2018-12-12,7929.51333333333,25.3,18.6
2018-12-13,8214.137083333330,28.7,20.0
2018-12-14,7975.787500000000,26.1,18.7
2018-12-15,7656.190416666670,29.6,19.7
2018-12-16,7657.901250000000,30.3,21.5
2018-12-17,8588.600208333340,30.6,20.4
2018-12-18,8392.965000000000,25.0,21.5
2018-12-19,8310.30625,24.6,20.2
2018-12-20,8703.729583333330,31.6,19.7
2018-12-21,7735.0858333333300,23.3,20.4
2018-12-22,6841.780416666670,21.1,16.5
2018-12-23,6585.296875000000,23.4,15.3
2018-12-24,6985.726666666670,26.8,15.0
2018-12-25,6857.09479166667,30.1,19.0
2018-12-26,7455.834791666670,31.8,19.8
2018-12-27,8447.03041666667,32.4,21.0
2018-12-28,8771.408958333340,33.9,21.7
2018-12-29,8487.01479166667,33.6,20.6
2018-12-30,8380.489791666670,34.5,20.0
2018-12-31,8437.980833333330,32.9,21.1
2019-01-01,8282.850208333340,34.2,21.8
2019-01-02,8745.688125,28.5,19.8
2019-01-03,8612.550625000000,28.9,21.3
2019-01-04,9205.374583333330,33.0,20.6
2019-01-05,8584.935416666660,40.3,22.2
2019-01-06,6937.700208333330,22.7,18.0
2019-01-07,7759.5216666666700,26.0,18.4
2019-01-08,8569.568125000000,30.5,20.1
2019-01-09,8540.904166666670,30.0,20.5
2019-01-10,8076.513125000000,22.1,20.2
2019-01-11,8302.971875000000,28.0,19.9
2019-01-12,8440.820000000000,33.2,20.8
2019-01-13,7684.176041666660,24.6,21.4
2019-01-14,9135.772083333330,30.7,20.8
2019-01-15,9995.508541666660,32.4,22.8
2019-01-16,10313.686458333300,32.3,21.4
2019-01-17,10402.964375,32.5,22.6
2019-01-18,10497.618958333300,36.7,22.8
2019-01-19,8517.349375,25.4,23.0
2019-01-20,7796.730833333330,25.9,20.6
2019-01-21,8893.648541666670,27.9,21.5
2019-01-22,9758.676666666660,33.3,21.9
2019-01-23,9329.986875000000,27.8,22.3
2019-01-24,9003.792708333330,28.4,21.5
2019-01-25,10221.6125,33.7,21.8
2019-01-26,9716.517708333340,31.3,23.1
2019-01-27,8903.632500000000,35.5,22.5
2019-01-28,8437.267291666670,28.5,22.3
2019-01-29,9954.870833333330,32.2,22.8
2019-01-30,9931.694791666670,31.8,22.5
2019-01-31,9949.67333333333,40.6,23.1
2019-02-01,8033.3756250000000,22.2,18.0
2019-02-02,7833.343333333330,27.2,18.0
2019-02-03,8397.154583333340,31.2,21.0
2019-02-04,9542.976250000010,31.7,21.9
2019-02-05,9082.881666666670,28.0,22.3
2019-02-06,9117.659375000000,30.6,22.3
2019-02-07,9290.471250000000,31.3,23.6
2019-02-08,9051.869375,33.0,22.7
2019-02-09,7854.823750000000,33.7,20.1
2019-02-10,7013.8533333333300,24.4,17.1
2019-02-11,8187.524583333330,29.9,17.2
2019-02-12,9004.533958333330,37.7,20.5
2019-02-13,8013.86145833333,25.3,18.6
2019-02-14,7869.508333333330,26.5,17.5
2019-02-15,7940.516875,27.5,19.2
2019-02-16,7529.742708333340,29.3,19.9
2019-02-17,7813.548333333330,31.0,20.1
2019-02-18,9091.185416666660,32.3,21.0
2019-02-19,8673.282291666670,27.3,0.0
2019-02-20,8118.354583333330,23.0,18.4
2019-02-21,8062.592291666670,22.7,19.2
2019-02-22,7732.076250000000,21.8,18.4
2019-02-23,7028.422291666670,22.3,18.1
2019-02-24,6812.883750000000,25.6,17.2
2019-02-25,7733.4783333333300,25.7,18.4
2019-02-26,7968.171041666670,28.6,17.5
2019-02-27,8092.870000000000,25.2,19.2
2019-02-28,8395.015208333330,29.7,20.6
2019-03-01,8391.4375,29.1,21.6
2019-03-02,7745.053541666670,29.3,21.2
2019-03-03,7747.074583333330,29.7,20.8
2019-03-04,8821.610000000000,30.4,22.4
2019-03-05,8902.294375,30.2,22.4
2019-03-06,8571.779583333330,36.1,21.3
2019-03-07,7720.375208333330,24.4,17.6
2019-03-08,8219.434166666670,29.5,18.1
2019-03-09,7559.911875000000,23.8,20.7
2019-03-10,7706.6864583333300,30.0,19.5
2019-03-11,8479.529583333340,27.4,22.0
2019-03-12,8805.031041666670,36.5,22.1
2019-03-13,8078.255208333330,25.0,18.8
2019-03-14,8287.615416666670,28.3,19.7
2019-03-15,7692.145833333340,23.2,17.5
2019-03-16,7161.891875,25.2,18.2
2019-03-17,7128.472291666670,21.4,18.6
2019-03-18,7658.253125,23.4,17.4
2019-03-19,7859.673958333330,26.3,18.6
2019-03-20,7995.356875,25.0,19.0
2019-03-21,8027.051041666670,26.0,19.4
2019-03-22,7893.936458333330,26.5,19.7
2019-03-23,7314.950833333330,29.3,18.0
2019-03-24,7535.059166666670,30.4,20.6
2019-03-25,7889.1991666666600,27.8,20.7
2019-03-26,7576.488541666670,25.9,17.7
2019-03-27,7631.836250000000,23.4,14.5
2019-03-28,7815.876041666670,27.2,17.6
2019-03-29,7865.0512500000000,28.1,18.5
2019-03-30,7067.4270833333400,26.9,17.7
2019-03-31,6548.9229166666700,22.5,11.5
2019-04-01,7460.9122916666700,21.0,12.9
2019-04-02,7646.282083333330,23.1,16.5
2019-04-03,7634.001875000000,27.6,15.5
2019-04-04,7745.59125,22.5,17.2
2019-04-05,7691.221250000000,21.5,17.6
2019-04-06,7097.650833333330,30.1,16.9
2019-04-07,7009.171250000000,27.4,18.3
2019-04-08,7857.717916666670,34.7,17.7
2019-04-09,7697.12125,27.8,19.5
2019-04-10,7557.2872916666700,18.8,14.5
2019-04-11,7674.060833333340,20.0,11.7
2019-04-12,7615.671875000000,22.0,14.1
2019-04-13,7027.581250000000,27.6,14.5
2019-04-14,6823.5720833333300,22.1,16.6
2019-04-15,7386.136041666660,22.1,14.4
2019-04-16,7551.897708333340,23.8,14.3
2019-04-17,7642.924583333330,25.3,15.4
2019-04-18,7592.679375000000,27.5,15.8
2019-04-19,6801.21375,23.6,17.6
2019-04-20,6804.401666666670,25.3,16.6
2019-04-21,6655.321458333330,27.2,17.7
2019-04-22,6850.976875000000,27.3,18.2
2019-04-23,7486.811875000000,23.2,19.0
2019-04-24,7440.752500000000,27.1,17.1
2019-04-25,6854.569791666670,25.4,16.4
2019-04-26,7183.248750000000,30.0,17.6
2019-04-27,6895.107916666670,18.9,14.2
2019-04-28,6810.180000000000,22.3,9.9
2019-04-29,7647.068958333330,22.1,12.1
2019-04-30,7727.142291666660,25.2,15.2
2019-05-01,7813.0893750000000,25.6,18.0
2019-05-02,7849.493333333340,25.7,19.2
2019-05-03,7816.763750000000,26.0,19.3
2019-05-04,7174.712291666670,21.3,16.9
2019-05-05,7028.963125000000,18.9,11.7
2019-05-06,7671.147708333330,19.3,12.4
2019-05-07,7853.8960416666700,23.9,9.7
2019-05-08,7870.726041666660,21.9,11.2
2019-05-09,8051.077916666670,21.7,9.6
2019-05-10,8336.24020833333,20.9,11.5
2019-05-11,7593.8779166666600,20.9,10.1
2019-05-12,7409.0631250000000,21.0,10.6
2019-05-13,8016.82375,24.0,10.3
2019-05-14,8000.702500000000,22.0,13.2
2019-05-15,8044.676666666670,22.0,11.4
2019-05-16,8065.659583333330,23.5,12.7
2019-05-17,7896.699375000000,24.6,12.1
2019-05-18,7350.756875000000,21.1,12.3
2019-05-19,7230.898958333340,23.3,14.0
2019-05-20,7932.155833333340,23.8,13.5
2019-05-21,7804.447916666670,27.6,13.3
2019-05-22,7892.237708333330,22.1,14.7
2019-05-23,7852.810208333330,22.5,14.5
2019-05-24,7813.694375000000,25.9,13.8
2019-05-25,7239.125000000000,27.6,12.8
2019-05-26,7074.215833333340,23.8,13.8
2019-05-27,8349.442291666670,20.7,10.6
2019-05-28,8599.747083333330,20.2,9.4
2019-05-29,8512.506041666670,20.4,12.0
2019-05-30,8860.525416666670,17.0,8.3
2019-05-31,8955.167083333340,20.3,7.3
2019-06-01,8234.483541666670,18.3,9.5
2019-06-02,7926.695000000000,19.6,10.2
2019-06-03,8707.867916666660,18.8,12.4
2019-06-04,9603.090416666670,14.2,7.2
2019-06-05,9385.706041666670,14.4,9.3
2019-06-06,9095.372291666670,18.1,6.6
2019-06-07,8949.678541666660,17.1,10.6
2019-06-08,8512.88125,16.2,10.4
2019-06-09,7557.313958333330,22.0,10.3
2019-06-10,7465.607916666670,22.7,11.1
2019-06-11,8137.343125000000,21.9,11.6
2019-06-12,8207.328333333330,21.0,11.0
2019-06-13,8097.614791666670,22.0,14.1
